Ember Knight moved to floor earth room 1-1
Mist Walker moved to floor earth room 2-0
Terra Voyager moved to floor earth room 1-1
Terra Voyager gained their elemental resonance!
Zephyr Rogue moved to floor air room 1-1
Zephyr Rogue got damaged. Their health is now 1
Zephyr Rogue got damaged. Their health is now -1
Zephyr Rogue was killed by a Zephyral
FireBorn moved to floor fire room 1-0
FireBorn moved to floor fire room 1-2
FireBorn moved to floor fire room 2-0
FireBorn moved to floor fire room 0-2
Aquarid moved to floor water room 2-1
Aquarid moved to floor water room 2-1
Aquarid moved to floor water room 0-1
Aquarid moved to floor water room 2-1
Zephyral moved to floor air room 0-2
Zephyral moved to floor air room 0-2
Zephyral moved to floor air room 1-2
TerraVore moved to floor earth room 0-0
Current Turn:13
