Ember Knight moved to floor earth room 1-1
Mist Walker moved to floor air room 1-1
Mist Walker is now afflicted by their elemental discord
Terra Voyager moved to floor earth room 0-0
Terra Voyager gained their elemental resonance!
Terra Voyager got damaged. Their health is now 5
Terra Voyager smashed a TerraVore
Terra Voyager leveled up to level 0
FireBorn moved to floor fire room 0-0
FireBorn moved to floor fire room 1-0
Aquarid moved to floor water room 1-2
Aquarid moved to floor water room 0-1
Aquarid moved to floor water room 1-2
Aquarid moved to floor water room 1-2
Zephyral moved to floor air room 2-2
Zephyral moved to floor air room 1-1
Zephyral moved to floor air room 2-1
Current Turn:29
