Vernon moved to floor water room 1-1
FireBorn moved to floor fire room 2-0
FireBorn moved to floor fire room 2-0
FireBorn moved to floor fire room 2-2
FireBorn moved to floor fire room 1-2
Aquarid moved to floor water room 0-2
Aquarid moved to floor water room 2-2
Zephyral moved to floor air room 2-0
Zephyral moved to floor air room 2-0
Zephyral moved to floor air room 0-2
Zephyral moved to floor air room 1-2
TerraVore moved to floor earth room 0-2
TerraVore moved to floor earth room 2-1
TerraVore moved to floor earth room 2-0
TerraVore moved to floor earth room 2-0
Current Turn:6
